ID_origen;L_ORIGEM;ID_DESTINO;L_DESTINO;DISTANCIA;TEMPO
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao vila-matilde;Estação Vila Matilde  São Paulo  Brazil;14970;11198
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao penha;Penha  Penha de Franca  Sao Paulo - São Paulo  Brazil;12749;9636
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao carrao;Carrão  Tatuapé  Sao Paulo - São Paulo  Brazil;9718;7288
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao tatuape;Estação Tatuape  São Paulo  Brazil;10110;7519
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao belem;Metrô Belém - Avenida Alcântara Machado  Belenzinho  Sao Paulo - São Paulo  Brazil;8473;6224
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao bresser-mooca;Bresser-mooca  Brás  Sao Paulo - São Paulo  Brazil;6732;4961
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao bras;Bras  Brás  Sao Paulo - São Paulo  Brazil;6171;4547
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao pedro-II;Pedro II  São Paulo  Brazil;4099;2985
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao anhangabau;Anhangabaú  Consolacao  Sao Paulo - São Paulo  Brazil;3157;2375
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao republica;República  Sao Paulo - São Paulo  Brazil;3369;2530
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao santa-cecilia;Santa Cecília  São Paulo  Brazil;4199;3069
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao marechal-deodoro;Marechal Deodoro  São Paulo  Brazil;10829;8251
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao barra-funda;Barra Funda  São Paulo  Brazil;5343;3861
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao paulista;Estação Paulista do Metro  São Paulo  Brazil;1487;1172
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao faria-lima;Faria Lima  Pinheiros  Sao Paulo - São Paulo  Brazil;4813;3510
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao pinheiros;Estação Pinheiros De Metrô - Rua Gilberto Sabino  Pinheiros  Sao Paulo - São Paulo  Brazil;5645;4124
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao butanta;Estação Butanta metro - Avenida Vital Brasil  Butantã  Sao Paulo - São Paulo  Brazil;6627;4912
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao capao-redondo;Capão Redondo  Cidade Auxiliadora  Sao Paulo - São Paulo  Brazil;19746;15027
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao campo-limpo;Campo Limpo  Cidade Auxiliadora  Sao Paulo - São Paulo  Brazil;18336;13931
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao vila-belezas;Estação Vila das Belezas - Rua Inácio Preto de Morais  Vila Nova das Belezas  Sao Paulo - São Paulo  Brazil;15585;11794
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao giovanni-gronchi;Giovanni Gronchi  Jardim Mirante  Sao Paulo - São Paulo  Brazil;14278;10788
